iter	Logloss
0	0.6891909924
1	0.6847879648
2	0.6805120788
3	0.6763174095
4	0.6729318397
5	0.6694590412
6	0.6668537051
7	0.664013207
8	0.6608225529
9	0.6577783671
10	0.6548756377
11	0.6517978158
12	0.649197358
13	0.646708016
14	0.6445767286
15	0.6425633645
16	0.6405535963
17	0.638309001
18	0.6366087555
19	0.6347324037
20	0.6328811336
21	0.6312523503
22	0.6296918405
23	0.628376357
24	0.6268759491
25	0.6256234462
26	0.6244794243
27	0.6232619446
28	0.6221860153
29	0.6209675957
30	0.6197932318
31	0.6186721935
32	0.6179582117
33	0.6170793758
34	0.6162900068
35	0.6157204351
36	0.6148352652
37	0.6141000769
38	0.6133686528
39	0.6125394394
40	0.6121374545
41	0.6114384572
42	0.6107029298
43	0.6100231492
44	0.6092184417
45	0.608598212
46	0.608155038
47	0.6076601353
48	0.606956565
49	0.6065219058
50	0.6060993425
51	0.6057471583
52	0.6054112282
53	0.6050972347
54	0.6046296906
55	0.6041084513
56	0.6035966793
57	0.6033024525
58	0.6029630332
59	0.6026130864
60	0.6023068479
61	0.6019471288
62	0.6015568702
63	0.6012572303
64	0.6008206227
65	0.6005200766
66	0.5999581303
67	0.5994958223
68	0.5989965399
69	0.5986572853
70	0.5983402639
71	0.5979084275
72	0.5976075892
73	0.5972212497
74	0.5968419588
75	0.5966395034
76	0.5962399842
77	0.5958741428
78	0.5952822951
79	0.5948339058
80	0.594504478
81	0.5942073062
82	0.59373617
83	0.5933117173
84	0.5930784425
85	0.5927304114
86	0.592469012
87	0.5921485456
88	0.5919748965
89	0.5917559875
90	0.5914045953
91	0.5910203625
92	0.5907391965
93	0.5905045687
94	0.5900410473
95	0.5898629721
96	0.5895938935
97	0.5894851174
98	0.5890881499
99	0.5888841366
100	0.5884895886
101	0.5882111996
102	0.5880958319
103	0.5878500613
104	0.5876446246
105	0.5874534382
106	0.5870980828
107	0.5869166767
108	0.5868195043
109	0.5865930436
110	0.5863476505
111	0.5860874302
112	0.5856939632
113	0.5855137401
114	0.5852598967
115	0.5851242877
116	0.5850529822
117	0.5849129117
118	0.5847846941
119	0.5845769508
120	0.5843550426
121	0.5842352862
122	0.5839880205
123	0.5838142581
124	0.5834973972
125	0.5833274691
126	0.5831089588
127	0.5829517257
128	0.5827866691
129	0.5825488731
130	0.5824187193
131	0.5822780297
132	0.5821177024
133	0.5819223686
134	0.581795969
135	0.5815627031
136	0.581261468
137	0.5810415415
138	0.5808814834
139	0.5807120069
140	0.5805539261
141	0.5804349978
142	0.5802963708
143	0.5800278697
144	0.5799245448
145	0.5796981941
146	0.5795033473
147	0.5794173251
148	0.5792320654
149	0.5791365257
150	0.5789718003
151	0.5787250364
152	0.57851591
153	0.5783261317
154	0.5781925228
155	0.5779166564
156	0.5778168195
157	0.5775881242
158	0.5774736026
159	0.5772509897
160	0.5770663871
161	0.576872947
162	0.5765695292
163	0.5765321867
164	0.5763818354
165	0.5762830253
166	0.576109706
167	0.5759057667
168	0.5756937017
169	0.5755404353
170	0.5753806258
171	0.5752014911
172	0.5750969491
173	0.5749433011
174	0.57483823
175	0.5746743136
176	0.5745295861
177	0.5743210207
178	0.5741843544
179	0.5740576299
180	0.5738814555
181	0.5738125452
182	0.5736164844
183	0.5734393812
184	0.573344408
185	0.5731380949
186	0.5731047835
187	0.5728094167
188	0.5726276579
189	0.5725003461
190	0.5724241513
191	0.5722893075
192	0.5720193082
193	0.5717283331
194	0.5716037869
195	0.5714384259
196	0.5713281836
197	0.5711150167
198	0.5709647203
199	0.5707547257
